product_dim_id,product_id,product_name,product_price,category_id,department_id
1,19,Nike Men's Fingertrap Max Training Shoe,124.99,18,4
2,24,Elevation Training Mask 2.0,79.99,18,4
3,35,adidas Brazuca 2014 Official Match Ball,159.99,41,4
4,37,adidas Kids' F5 Messi FG Soccer Cleat,34.99,41,4
5,44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99,41,4
6,58,Diamondback Boys' Insight 24 Performance Hybr,299.99,32,4
7,60,SOLE E25 Elliptical,999.99,32,4
8,61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.99,32,4
9,78,Nike Kids' Grade School KD VI Basketball Shoe,99.99,3,4
10,93,Under Armour Men's Tech II T-Shirt,24.99,3,4
11,116,Nike Men's Comfort 2 Slide,44.99,39,4
12,127,Stiga Master Series ST3100 Competition Indoor,329.99,15,4
13,134,Nike Women's Legend V-Neck T-Shirt,25.00,15,4
14,135,Nike Dri-FIT Crew Sock 6 Pack,22.00,15,4
15,172,Nike Women's Tempo Shorts,30.00,44,5
16,191,Nike Men's Free 5.0+ Running Shoe,99.99,44,5
17,203,GoPro HERO3+ Black Edition Camera,399.99,7,5
18,208,SOLE E35 Elliptical,1999.99,7,5
19,216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.00,7,5
20,226,Bowflex SelectTech 1090 Dumbbells,599.99,28,5
21,235,Under Armour Hustle Storm Medium Duffle Bag,34.99,28,5
22,249,Under Armour Women's Micro G Skulpt Running S,54.97,26,5
23,251,Brooks Women's Ghost 6 Running Shoe,89.99,26,5
24,258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.99,26,5
25,273,Under Armour Kids' Mercenary Slide,27.99,4,5
26,276,Under Armour Women's Ignite Slide,31.99,4,5
27,278,Under Armour Men's Compression EV SL Slide,44.99,4,5
28,282,Under Armour Women's Ignite PIP VI Slide,31.99,4,5
29,295,Fitbit The One Wireless Activity & Sleep Trac,99.95,21,11
30,303,Garmin Forerunner 910XT GPS Watch,399.99,21,11
31,305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.00,21,11
