time_dim_id,date_value,date_year,date_month,date_day,date_weekday,date_hour
1,2014-12-31 23:00:00,2014,12,31,3,23
2,2015-01-01 00:00:00,2015,1,1,4,0
3,2015-01-01 01:00:00,2015,1,1,4,1
4,2015-01-01 02:00:00,2015,1,1,4,2
5,2015-01-01 03:00:00,2015,1,1,4,3
6,2015-01-01 04:00:00,2015,1,1,4,4
7,2015-01-01 05:00:00,2015,1,1,4,5
8,2015-01-01 06:00:00,2015,1,1,4,6
9,2015-01-01 07:00:00,2015,1,1,4,7
10,2015-01-01 08:00:00,2015,1,1,4,8
11,2015-01-01 09:00:00,2015,1,1,4,9
12,2015-01-01 10:00:00,2015,1,1,4,10
13,2015-01-01 11:00:00,2015,1,1,4,11
14,2015-01-01 12:00:00,2015,1,1,4,12
15,2015-01-01 13:00:00,2015,1,1,4,13
16,2015-01-01 14:00:00,2015,1,1,4,14
17,2015-01-01 15:00:00,2015,1,1,4,15
18,2015-01-01 16:00:00,2015,1,1,4,16
19,2015-01-01 17:00:00,2015,1,1,4,17
20,2015-01-01 18:00:00,2015,1,1,4,18
21,2015-01-01 20:00:00,2015,1,1,4,20
22,2015-01-01 21:00:00,2015,1,1,4,21
23,2015-01-01 22:00:00,2015,1,1,4,22
24,2015-01-02 00:00:00,2015,1,2,5,0
25,2015-01-02 01:00:00,2015,1,2,5,1
26,2015-01-02 02:00:00,2015,1,2,5,2
27,2015-01-02 03:00:00,2015,1,2,5,3
28,2015-01-02 04:00:00,2015,1,2,5,4
29,2015-01-02 05:00:00,2015,1,2,5,5
30,2015-01-02 06:00:00,2015,1,2,5,6
31,2015-01-02 07:00:00,2015,1,2,5,7
32,2015-01-02 08:00:00,2015,1,2,5,8
33,2015-01-02 09:00:00,2015,1,2,5,9
34,2015-01-02 10:00:00,2015,1,2,5,10
35,2015-01-02 11:00:00,2015,1,2,5,11
36,2015-01-02 12:00:00,2015,1,2,5,12
37,2015-01-02 13:00:00,2015,1,2,5,13
38,2015-01-02 14:00:00,2015,1,2,5,14
39,2015-01-02 15:00:00,2015,1,2,5,15
40,2015-01-02 17:00:00,2015,1,2,5,17
41,2015-01-02 19:00:00,2015,1,2,5,19
42,2015-01-02 20:00:00,2015,1,2,5,20
43,2015-01-02 21:00:00,2015,1,2,5,21
44,2015-01-02 22:00:00,2015,1,2,5,22
45,2015-01-02 23:00:00,2015,1,2,5,23
46,2015-01-03 00:00:00,2015,1,3,6,0
47,2015-01-03 01:00:00,2015,1,3,6,1
48,2015-01-03 02:00:00,2015,1,3,6,2
49,2015-01-03 03:00:00,2015,1,3,6,3
50,2015-01-03 04:00:00,2015,1,3,6,4
51,2015-01-03 05:00:00,2015,1,3,6,5
52,2015-01-03 06:00:00,2015,1,3,6,6
53,2015-01-03 07:00:00,2015,1,3,6,7
54,2015-01-03 08:00:00,2015,1,3,6,8
55,2015-01-03 09:00:00,2015,1,3,6,9
56,2015-01-03 10:00:00,2015,1,3,6,10
57,2015-01-03 11:00:00,2015,1,3,6,11
58,2015-01-03 12:00:00,2015,1,3,6,12
59,2015-01-03 13:00:00,2015,1,3,6,13
60,2015-01-03 14:00:00,2015,1,3,6,14
61,2015-01-03 15:00:00,2015,1,3,6,15
62,2015-01-03 16:00:00,2015,1,3,6,16
63,2015-01-03 17:00:00,2015,1,3,6,17
64,2015-01-03 18:00:00,2015,1,3,6,18
65,2015-01-03 19:00:00,2015,1,3,6,19
66,2015-01-03 20:00:00,2015,1,3,6,20
67,2015-01-03 21:00:00,2015,1,3,6,21
68,2015-01-03 22:00:00,2015,1,3,6,22
69,2015-01-03 23:00:00,2015,1,3,6,23
70,2015-01-04 00:00:00,2015,1,4,0,0
71,2015-01-04 01:00:00,2015,1,4,0,1
72,2015-01-04 02:00:00,2015,1,4,0,2
73,2015-01-04 03:00:00,2015,1,4,0,3
74,2015-01-04 04:00:00,2015,1,4,0,4
75,2015-01-04 05:00:00,2015,1,4,0,5
76,2015-01-04 06:00:00,2015,1,4,0,6
77,2015-01-04 07:00:00,2015,1,4,0,7
78,2015-01-04 08:00:00,2015,1,4,0,8
79,2015-01-04 09:00:00,2015,1,4,0,9
80,2015-01-04 11:00:00,2015,1,4,0,11
81,2015-01-04 12:00:00,2015,1,4,0,12
82,2015-01-04 13:00:00,2015,1,4,0,13
83,2015-01-04 14:00:00,2015,1,4,0,14
84,2015-01-04 16:00:00,2015,1,4,0,16
85,2015-01-04 17:00:00,2015,1,4,0,17
86,2015-01-04 18:00:00,2015,1,4,0,18
87,2015-01-04 19:00:00,2015,1,4,0,19
88,2015-01-04 21:00:00,2015,1,4,0,21
89,2015-01-04 22:00:00,2015,1,4,0,22
90,2015-01-04 23:00:00,2015,1,4,0,23
91,2015-01-05 00:00:00,2015,1,5,1,0
92,2015-01-05 01:00:00,2015,1,5,1,1
93,2015-01-05 02:00:00,2015,1,5,1,2
94,2015-01-05 03:00:00,2015,1,5,1,3
95,2015-01-05 04:00:00,2015,1,5,1,4
96,2015-01-05 05:00:00,2015,1,5,1,5
97,2015-01-05 06:00:00,2015,1,5,1,6
98,2015-01-05 07:00:00,2015,1,5,1,7
99,2015-01-05 08:00:00,2015,1,5,1,8
100,2015-01-05 09:00:00,2015,1,5,1,9
101,2015-01-05 10:00:00,2015,1,5,1,10
102,2015-01-05 11:00:00,2015,1,5,1,11
103,2015-01-05 12:00:00,2015,1,5,1,12
104,2015-01-05 13:00:00,2015,1,5,1,13
105,2015-01-05 14:00:00,2015,1,5,1,14
106,2015-01-05 15:00:00,2015,1,5,1,15
107,2015-01-05 16:00:00,2015,1,5,1,16
108,2015-01-05 17:00:00,2015,1,5,1,17
109,2015-01-05 18:00:00,2015,1,5,1,18
110,2015-01-05 19:00:00,2015,1,5,1,19
111,2015-01-05 20:00:00,2015,1,5,1,20
112,2015-01-05 21:00:00,2015,1,5,1,21
113,2015-01-05 22:00:00,2015,1,5,1,22
114,2015-01-05 23:00:00,2015,1,5,1,23
115,2015-01-06 00:00:00,2015,1,6,2,0
116,2015-01-06 01:00:00,2015,1,6,2,1
117,2015-01-06 02:00:00,2015,1,6,2,2
118,2015-01-06 03:00:00,2015,1,6,2,3
119,2015-01-06 04:00:00,2015,1,6,2,4
120,2015-01-06 05:00:00,2015,1,6,2,5
121,2015-01-06 06:00:00,2015,1,6,2,6
122,2015-01-06 07:00:00,2015,1,6,2,7
123,2015-01-06 08:00:00,2015,1,6,2,8
124,2015-01-06 09:00:00,2015,1,6,2,9
125,2015-01-06 10:00:00,2015,1,6,2,10
126,2015-01-06 11:00:00,2015,1,6,2,11
127,2015-01-06 12:00:00,2015,1,6,2,12
128,2015-01-06 13:00:00,2015,1,6,2,13
129,2015-01-06 14:00:00,2015,1,6,2,14
130,2015-01-06 15:00:00,2015,1,6,2,15
131,2015-01-06 16:00:00,2015,1,6,2,16
132,2015-01-06 17:00:00,2015,1,6,2,17
133,2015-01-06 18:00:00,2015,1,6,2,18
134,2015-01-06 19:00:00,2015,1,6,2,19
135,2015-01-06 20:00:00,2015,1,6,2,20
136,2015-01-06 21:00:00,2015,1,6,2,21
137,2015-01-06 22:00:00,2015,1,6,2,22
138,2015-01-06 23:00:00,2015,1,6,2,23
139,2015-01-07 00:00:00,2015,1,7,3,0
140,2015-01-07 01:00:00,2015,1,7,3,1
141,2015-01-07 02:00:00,2015,1,7,3,2
142,2015-01-07 03:00:00,2015,1,7,3,3
143,2015-01-07 04:00:00,2015,1,7,3,4
144,2015-01-07 05:00:00,2015,1,7,3,5
145,2015-01-07 06:00:00,2015,1,7,3,6
146,2015-01-07 07:00:00,2015,1,7,3,7
147,2015-01-07 08:00:00,2015,1,7,3,8
148,2015-01-07 09:00:00,2015,1,7,3,9
149,2015-01-07 10:00:00,2015,1,7,3,10
150,2015-01-07 11:00:00,2015,1,7,3,11
151,2015-01-07 12:00:00,2015,1,7,3,12
152,2015-01-07 13:00:00,2015,1,7,3,13
153,2015-01-07 14:00:00,2015,1,7,3,14
154,2015-01-07 15:00:00,2015,1,7,3,15
155,2015-01-07 16:00:00,2015,1,7,3,16
156,2015-01-07 17:00:00,2015,1,7,3,17
157,2015-01-07 18:00:00,2015,1,7,3,18
158,2015-01-07 19:00:00,2015,1,7,3,19
159,2015-01-07 20:00:00,2015,1,7,3,20
160,2015-01-07 21:00:00,2015,1,7,3,21
161,2015-01-07 22:00:00,2015,1,7,3,22
162,2015-01-07 23:00:00,2015,1,7,3,23
163,2015-01-08 00:00:00,2015,1,8,4,0
164,2015-01-08 01:00:00,2015,1,8,4,1
165,2015-01-08 02:00:00,2015,1,8,4,2
166,2015-01-08 03:00:00,2015,1,8,4,3
167,2015-01-08 04:00:00,2015,1,8,4,4
168,2015-01-08 05:00:00,2015,1,8,4,5
169,2015-01-08 06:00:00,2015,1,8,4,6
170,2015-01-08 07:00:00,2015,1,8,4,7
171,2015-01-08 08:00:00,2015,1,8,4,8
172,2015-01-08 09:00:00,2015,1,8,4,9
173,2015-01-08 10:00:00,2015,1,8,4,10
174,2015-01-08 11:00:00,2015,1,8,4,11
175,2015-01-08 12:00:00,2015,1,8,4,12
176,2015-01-08 13:00:00,2015,1,8,4,13
177,2015-01-08 14:00:00,2015,1,8,4,14
178,2015-01-08 15:00:00,2015,1,8,4,15
179,2015-01-08 16:00:00,2015,1,8,4,16
180,2015-01-08 17:00:00,2015,1,8,4,17
181,2015-01-08 18:00:00,2015,1,8,4,18
182,2015-01-08 19:00:00,2015,1,8,4,19
183,2015-01-08 20:00:00,2015,1,8,4,20
184,2015-01-08 21:00:00,2015,1,8,4,21
185,2015-01-08 22:00:00,2015,1,8,4,22
186,2015-01-08 23:00:00,2015,1,8,4,23
187,2015-01-09 00:00:00,2015,1,9,5,0
188,2015-01-09 01:00:00,2015,1,9,5,1
189,2015-01-09 02:00:00,2015,1,9,5,2
190,2015-01-09 03:00:00,2015,1,9,5,3
191,2015-01-09 04:00:00,2015,1,9,5,4
192,2015-01-09 05:00:00,2015,1,9,5,5
193,2015-01-09 06:00:00,2015,1,9,5,6
194,2015-01-09 07:00:00,2015,1,9,5,7
195,2015-01-09 08:00:00,2015,1,9,5,8
196,2015-01-09 09:00:00,2015,1,9,5,9
197,2015-01-09 10:00:00,2015,1,9,5,10
198,2015-01-09 11:00:00,2015,1,9,5,11
199,2015-01-09 12:00:00,2015,1,9,5,12
200,2015-01-09 13:00:00,2015,1,9,5,13
201,2015-01-09 14:00:00,2015,1,9,5,14
202,2015-01-09 15:00:00,2015,1,9,5,15
203,2015-01-09 16:00:00,2015,1,9,5,16
204,2015-01-09 17:00:00,2015,1,9,5,17
205,2015-01-09 18:00:00,2015,1,9,5,18
206,2015-01-09 19:00:00,2015,1,9,5,19
207,2015-01-09 20:00:00,2015,1,9,5,20
208,2015-01-09 21:00:00,2015,1,9,5,21
209,2015-01-09 22:00:00,2015,1,9,5,22
210,2015-01-09 23:00:00,2015,1,9,5,23
211,2015-01-10 00:00:00,2015,1,10,6,0
212,2015-01-10 01:00:00,2015,1,10,6,1
213,2015-01-10 02:00:00,2015,1,10,6,2
214,2015-01-10 03:00:00,2015,1,10,6,3
215,2015-01-10 04:00:00,2015,1,10,6,4
216,2015-01-10 05:00:00,2015,1,10,6,5
217,2015-01-10 06:00:00,2015,1,10,6,6
